    No    Content_num  Round     cover   
   946        4         15       1.0    
   947        6         24       1.0    
   948        4         15       1.0    
   949        5         17       1.0    
   950        5         22       1.0    
   951        4         17       1.0    
   952        5         22       1.0    
   953        6         24       1.0    
   954        4         15       1.0    
   955        6         23       1.0    
   956        6         22       1.0    
   957        3         11       1.0    
   958        4         13       1.0    
   959        6         22       1.0    
   960        5         18       1.0    
   961        4         15       1.0    
   962        3         11       1.0    
   963        4         15       1.0    
   964        4         14       1.0    
   965        4         13       1.0    
   966        6         24       1.0    
   967        5         19       1.0    
   968        7         24       1.0    
   969        6         23       1.0    
   970        5         20       1.0    
   971        7         26       1.0    
   972        6         24       1.0    
   973        6         22       1.0    
   974        5         20       1.0    
   975        4         14       1.0    
   976        3         11       1.0    
   977        4         14       1.0    
   978        4         15       1.0    
   979        6         21       1.0    
   980        6         24       1.0    
   981        7         24       1.0    
   982        4         15       1.0    
   983        8         31       1.0    
   984        7         26       1.0    
   985        2         6        1.0    
   986        6         21       1.0    
   987        3         10       1.0    
   988        5         21       1.0    
   989        6         25       1.0    
   990        8         29       1.0    
   991        7         26       1.0    
   992        4         15       1.0    
   993        6         23       1.0    
   994        5         20       1.0    
   995        4         17       1.0    
   996        5         21       1.0    
   997        7         23       1.0    
   998        5         19       1.0    
   999        4         13       1.0    
   1000       5         18       1.0      
   1001       2         6        1.0    
   1002       7         25       1.0    
   1003       7         24       1.0    
   1004       4         17       1.0    
   1005       8         30       1.0    
   1006       9         33       1.0    
   1007       5         18       1.0    
   1008       4         15       1.0    
   1009       2         9        1.0    
   1010       6         23       1.0    
   1011       6         20       1.0    
   1012       6         26       1.0    
   1013       5         19       1.0    
   1014       8         33       1.0    
   1015       5         18       1.0    
   1016       4         15       1.0    
   1017       7         27       1.0    
   1018       5         19       1.0    
   1019       3         12       1.0    
   1020       6         24       1.0    
   1021       7         27       1.0    
   1022       5         19       1.0    
   1023       6         22       1.0    
   1024       3         13       1.0    
   1025       2         7        1.0    
   1026       5         18       1.0    
   1027       3         12       1.0    
   1028       5         18       1.0    
   1029       5         18       1.0    
   1030       7         25       1.0    
   1031       3         12       1.0    
   1032       5         18       1.0    
   1033       4         16       1.0    
   1034       2         6        1.0    
   1035       7         24       1.0    
   1036       6         23       1.0    
   1037       9         35       1.0    
   1038       6         21       1.0    
   1039       6         21       1.0    
   1040       4         18       1.0    
   1041       2         8        1.0    
   1042       5         20       1.0    
   1043       6         25       1.0    
   1044       4         17       1.0    
   1045       8         29       1.0    
   1046       3         12       1.0    
   1047       5         16       1.0    
   1048       4         15       1.0    
   1049       7         25       1.0    
   1050       6         23       1.0    
   1051       7         27       1.0    
   1052       6         21       1.0    
   1053       5         21       1.0    
   1054       9         32       1.0    
   1055       6         24       1.0    
   1056       5         20       1.0    
   1057       4         12       1.0    
   1058       5         19       1.0    
   1059       6         24       1.0    
   1060       4         16       1.0    
   1061       4         17       1.0    
   1062       6         23       1.0    
   1063       5         19       1.0    
   1064       6         22       1.0    
   1065       6         22       1.0    
   1066       7         27       1.0    
   1067       5         20       1.0    
   1068       5         20       1.0    
   1069       2         8        1.0    
   1070       4         16       1.0    
   1071       3         12       1.0    
   1072       4         13       1.0    
   1073       6         19       1.0    
   1074       5         16       1.0    
   1075       5         21       1.0    
   1076       5         19       1.0    
   1077       6         23       1.0    
   1078       7         25       1.0    
   1079       5         19       1.0    
   1080       7         26       1.0    
   1081       6         25       1.0    
   1082       5         19       1.0    
   1083       6         24       1.0    
   1084       5         19       1.0    
   1085       3         13       1.0    
   1086       4         13       1.0    
   1087       4         15       1.0    
   1088       7         26       1.0    
   1089       3         11       1.0    
   1090       6         22       1.0    
   1091       6         24       1.0    
   1092       7         27       1.0    
   1093       2         8        1.0    
   1094       4         14       1.0    
   1095       6         24       1.0    
   1096       3         10       1.0    
   1097       7         25       1.0    
